a2a3
f7f5
a1a2
b7b5
a2a1
h7h5
a1a2
h8h7
a2a1
d7d6
a1a2
b8a6
a2a1
h5h4
a1a2
g8f6
a2a1
a6b8
a1a2
c8e6
a2a1
f6d7
a1a2
e6b3
a2a1
h4h3
a1a2
d7c5
a2a1
e7e5
a1a2
a7a5
a2a1
f5f4
a1a2
d8c8
a2a1
b3e6
a1a2
a8a7
a2a1
c5a6
a1a2
g7g5
a2a1
h7g7
a1a2
g7f7
a2a1
c7c5
a1a2
f7g7
a2a1
f8e7
a1a2
c8c7
a2a1
e6c4
a1a2
c7b6
a2a1
g7h7
a1a2
h7h4
a2a1
b8d7
a1a2
c4g8
a2a1
h4h8
a1a2
a7a8
a2a1
b6b8
a1a2
d7f8
a2a1
f8g6
a1a2
b8b7
a2a1
b7c6
a1a2
a6b8
a2a1
e8d8
a1a2
h8h4
a2a1
b8d7
a1a2
c6e4
a2a1
h4h5
a1a2
a8a6
a2a1
e7f6
a1a2
e4b7
a2a1
a6a7
a1a2
g8e6
a2a1
d8e8
a1a2
b7b6
a2a1
h5h7
a1a2
b6b7
a2a1
g6h8
a1a2
b7c7
a2a1
e8f8
a1a2
h7e7
a2a1
a7a6
a1a2
e7e8
a2a1
e8b8
a1a2
b8c8
a2a1
f6d8
a1a2
d6d5
a2a1
c7b6
a1a2
d5d4
a2a1
e6b3
a1a2
b3a2
a3a4
b6f6
a4b5
d8e7
b1c3
f6e6
b2b3
g5g4
b3b4
f8e8
b4a5
e7f6
b5b6
e6g8
b6b7
h3g2
b7b8q
e8d8
b8b7
a6a7
a5a6
a2b1
b7b8
g8g7
b8b7
c8c6
b7b8
c6c8
b8b7
g7f8
b7b8
d4d3
b8b7
c5c4
b7b8
f4f3
b8b7
e5e4
b7b8
f6e7
b8b7
e7b4
b7b8
f8f4
b8b7
c8c5
b7b8
f4b8
c1b2
a7a6
b2c1
b1a2
c1b2
c5d5
b2c1
b4c3
c1b2
h8g6
b2c3
b8b1
c2d3
d8c8
c3d4
b1b5
d1c1
a6e6
c1c2
b5b8
c2c3
d7f6
c3c4
b8c7
c4c5
e6e5
c5c6
e4e3
c6c7
c8c7
d2e3
g6e7
d4e5
c7d8
d3d4
f6e8
e1d1
d5d7
d1e1
e8g7
d4d5
e7d5
e1d1
d5c3
d1e1
a2c4
e2f3
d8e8
e3e4
g4g3
e5f6
c4e6
e4e5
e6b3
e5e6
c3a2
e1e2
g7f5
e2e1
g3f2
e1f2
a2c1
e6e7
b3d1
f1g2
c1d3
f2f1
f5h6
f3f4
d1f3
f4f5
d3c1
f1e1
d7d6
e1f2
f3d5
f2g3
h6g4
f6g7
d5e6
f5f6
d6d5
f6f7
e8f7
e7e8q
f7g7
e8e7
g7g8
e7e8
g8g7
e8e7
e6f7
e7e8
d5d2
e8e7
d2a2
e7e8
f7d5
e8e7
g7h8
e7e8
h8h7
e8e7
h7g8
e7e8
g8g7
e8e7
g7g6
e7e8
g6h6
e8e7
a2a6
e7e8
a6a4
e8e7
a4a2
e7e8
d5c6
e8e7
c6f3
e7e8
a2c2
e8e7
f3d1
e7e8
c1b3
e8e7
b3a1
e7e8
g4e3
e8e7
c2c1
e7e8
a1c2
e8e7
e3c4
e7e8
h6g7
e8e7
g7g8
e7e8
g8g7
e8e7
g7g6
e7e8
g6h6
e8e7
c4d6
e7e8
c2a1
e8e7
d1a4
e7e8
d6e4
e8e4
c1c7
e4e5
a4d7
e5e6
h6h5
e6e7
d7c8
e7e8
c7f7
e8e7
h5h6
e7e8
f7h7
e8e7
a1b3
e7e8
c8d7
e8e7
b3d2
e7e8
d2c4
e8e7
h7f7
e7e8
c4a3
e8e7
f7f4
e7e8
f4a4
e8e7
a4d4
e7e8
a3c2
e8e7
d7e8
e7e8
d4d7
e8e7
d7e7
g1h3
e7e2
g2f3
c2e1
f3g4
e1d3
g3h4
e2b2
g4h5
b2c2
h1g1
d3b4
g1g2
c2c3
g2g3
c3c8
g3g4
c8d8
g4g5
b4a6
g5g6
h6h7
g6g7
h7g7
h3g5
d8e8
g5h7
e8h8
h2h3
h8g8
h4g3
a6b4
g3h4
g8b8
h4g3
g7h7
g3h4
b8b6
h4g3
b4c2
g3h4
b6h6
h4g3
c2a1
g3h4
h7g7
h4g3
h6a6
g3h4
a6a2
h4g3
a2d2
g3h4
d2c2
h4g3
c2a2
g3h4
g7h6
h4g3
a2h2
g3h4
h2c2
h4g3
h6h5
g3f3
c2c8
f3g3
c8c7
g3h2
c7c4
h2h1
h5h6
h1g1
a1b3
g1h2
b3d4
h2h1
d4e2
h1g2
e2d4
g2h2
c4c3
h2h1
h6g7
h1g1
c3c2
g1h1
c2b2
h1g1
d4b3
g1h1
b2e2
h1g1
b3a1
g1h1
g7g8
h1g1
e2d2
g1h1
g8f8
h1g1
d2e2
g1h1
e2a2
h1g1
f8f7
g1h1
f7g6
h1g1
a2a4
g1h2
g6g5
h2h1
g5h6
h1g1
a1b3
g1h2
b3d4
h2h1
a4a6
h1g1
a6a5
g1h2
d4f3
h2h1
a5a2
h3h4
a2d2
h4h5
d2c2
